stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,is_trans_ctr,at_trans_ctr,direction
1300,1300,"Capitola Rd & 30th Ave",,  36.973789,-121.972603,,http://scmtd.com/stop/1300,0,,,,0,0,2
1301,1301,"Capitola Rd & Thompson Ave",,  36.973602,-121.970589,,http://scmtd.com/stop/1301,0,,,,0,0,1
1302,1302,"Capitola Rd & 41st Ave",,  36.973602,-121.966553,,http://scmtd.com/stop/1302,0,,,,0,0,1
1303,1303,"Capitola Rd & 41st Ave",,  36.973621,-121.964485,,http://scmtd.com/stop/1303,0,,,,0,0,1
1304,1304,"Capitola Rd & 41st Ave",,  36.973843,-121.963669,,http://scmtd.com/stop/1304,0,,,,0,0,2
1305,1305,"Capitola Rd & 44th Ave",,  36.973618,-121.960815,,http://scmtd.com/stop/1305,0,,,,0,0,1
1306,1306,"Capitola Rd & 43rd Ave",,  36.973843,-121.961472,,http://scmtd.com/stop/1306,0,,,,0,0,2
1307,1307,"Capitola Rd & 47th Ave",,  36.973656,-121.958023,,http://scmtd.com/stop/1307,0,,,,0,0,1
1312,1312,"Center Ave & East",,  36.974327,-121.910355,,http://scmtd.com/stop/1312,0,,,,0,0,1
1314,1314,"Center Ave & Santa Clara Ave",,  36.974442,-121.908646,,http://scmtd.com/stop/1314,0,,,,0,0,1
1315,1315,"Center Ave & El Camino Del Mar",,  36.974503,-121.907295,,http://scmtd.com/stop/1315,0,,,,0,0,1
1325,1325,"Clubhouse Dr & St Andrews Dr",,  36.964104,-121.879417,,http://scmtd.com/stop/1325,0,,,,0,0,1
1328,1328,"Clubhouse Dr & Locke Dr",,  36.967808,-121.883453,,http://scmtd.com/stop/1328,0,,,,0,0,1
1331,1331,"Clubhouse Dr & Los Altos Dr",,  36.970222,-121.885704,,http://scmtd.com/stop/1331,0,,,,0,0,1
1332,1332,"Clubhouse Dr & Murray Ave",,  36.972874,-121.887932,,http://scmtd.com/stop/1332,0,,,,0,0,1
1341,1341,"Bay & High (UCSC - Main Entrance)",,  36.977638,-122.053680,,http://scmtd.com/stop/1341,0,,,,0,0,1
